West,North,NorthCentral,SouthCentral,South
Countdown_Hobsonville,Countdown_Birkenhead,Countdown Auckland City,Countdown Airport,Countdown Manukau
Countdown_Northwest,Countdown_Northcote,Countdown Blockhouse Bay,Countdown Aviemore Drive,Countdown Manukau Mall
Countdown_Westgate,Countdown_Glenfield,Countdown Greenlane,Countdown Botany Downs,Countdown Manurewa
Countdown_Te_Atatu,Countdown_Takapuna,Countdown Grey Lynn,Countdown Highland Park,Countdown Papakura
Countdown_Te_Atatu_South,Countdown_Hauraki_Corner,Countdown Grey Lynn Central,Countdown Howick,Countdown Roselands
Countdown_Lincoln_Road,Countdown_Milford,Countdown Kelston,Countdown Mangere East,Countdown Takanini
Countdown_Henderson,Countdown_Sunnynook,Countdown Lynfield,Countdown Mangere Mall,SuperValue Flatbush
SuperValue_Palomino,Countdown_Mairangi_Bay,Countdown Lynmall,Countdown Meadowlands,SuperValue Papakura
FreshChoice_Ranui,Countdown_Browns_Bay,Countdown Meadowbank,Countdown Pakuranga,
,,Countdown Metro Albert Street,Countdown Papatoetoe,
,,Countdown Metro Halsey Street,FreshChoice Half Moon Bay,
,,Countdown Mt Eden,FreshChoice Mangere Bridge,
,,Countdown Mt Roskill,FreshChoice Otahuhu,
,,Countdown Mt Wellington,Countdown Onehunga,
,,Countdown Newmarket,,
,,Countdown Ponsonby,,
,,Countdown Pt Chevalier,,
,,Countdown St Johns,,
,,Countdown St Lukes,,
,,Countdown Sylvia Park,,
,,Countdown Three Kings,,
,,Countdown Victoria Street West,,
,,FreshChoice Glen Eden,,
,,SuperValue Avondale,,
,,SuperValue Titirangi,,
,,,,
